,Food Name,Water (g),Energy (kal),Protein (g),lipid (g),Carbohydrate (g),Fiber (g),Ash (g),Ca (mg),Fe (mg),Mg (mg),P (mg),K (mg),Na (mg),Zn (mg),Se (µg),Cu (mg),Mn (mg),Vc (mg),Thiamin (mg),Riboflavin (mg),Niacin (mg),B6 (mg),"Folate,DFE (µg)",B12 (µg),"Va,RAE (µg)",Ve (mg),saturated (g),monounsaturated (g),polyunsaturated (g),trans (g),Cholesterol (mg),Caffeine (mg),phenolics (mg),pH,Plain Occurences,Cool Occurences,Warm Occurences,Cold Occurences,Heavy Cold Occurences,Heavy Warm Occurences,Hot Occurences,Heavy Hot Occurences,% Plain,% Cool,% Warm,% Cold,% Heavy Cold,% Heavy Warm,% Hot,% Heavy Hot,hot_cold_scale,Plain,Cold,Hot,Mode
20,coconut meat,0.4704645574689628,0.4004524886877828,0.06143911439114391,0.33490000000000003,0.15526557243347947,0.16917293233082706,0.008016032064128258,0.011705685618729096,0.024948665297741274,0.040973111395646605,0.06738223017292785,0.029961285978791448,0.0005160224985809381,0.027989821882951658,0.024236612702366135,0.020022246941045607,0.004393673110720562,0.013608247422680412,2.46066661695623e-06,9.70873786407767e-05,0.01588468892484189,0.013267813267813266,0.0406885758998435,0.0,0.0,0.0048,0.3160504863461252,0.022520386876540868,0.008776978417266186,0.0002563849765258215,0.0,0.0,0.11944343712574847,0.6193181818181818,3,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3,0,0,Plain
21,Grapes,0.8063676411694034,0.07805429864253394,0.013284132841328412,0.0016,0.1845244163523295,0.016917293233082706,0.0070140280561122245,0.008361204013377926,0.0036960985626283364,0.008962868117797696,0.011926058437686345,0.016074734893115637,5.1602249858093815e-05,0.00178117048346056,0.00049813200498132,0.003337041156840934,0.002636203866432337,0.013195876288659794,2.5725150995451497e-06,0.0003398058252427185,0.005530225033093103,0.021130221130221127,0.003129890453834116,0.0,0.002533783783783784,0.0038,0.0005746759466189899,0.00011062646184967444,0.0011510791366906475,0.0,0.0,0.0,0.004703592814371257,0.24545454545454545,3,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3,0,0,Plain
22,"Yam, raw",0.6968362034441329,0.1334841628959276,0.028228782287822878,0.0017000000000000001,0.28422876949740034,0.07706766917293233,0.0070140280561122245,0.014214046822742474,0.005544147843942505,0.026888604353393086,0.032796660703637445,0.0686753071873422,0.00023221012436142215,0.0061068702290076335,0.02540473225404732,0.06896551724137931,0.019332161687170474,0.07051546391752578,4.175676683319663e-06,0.0001553398058252427,0.0162376820120606,0.07199017199017198,0.03599374021909233,0.0,0.0059121621621621625,0.006999999999999999,0.00039375944490560415,9.482268158543523e-05,0.0018225419664268582,0.0,0.0,0.0,0.008221556886227546,0.5636363636363636,3,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3,0,0,Plain
23,Pineapple,0.8610332398878655,0.05656108597285068,0.00996309963099631,0.0012,0.13375471505760014,0.02631578947368421,0.006012024048096192,0.010869565217391304,0.0029774127310061597,0.015364916773367477,0.004770423375074538,0.009173539808113113,2.5801124929046907e-05,0.0030534351145038168,0.0018264840182648401,0.006674082313681869,0.09050966608084358,0.19711340206185565,2.945343374841548e-06,0.0001553398058252427,0.014708045300779527,0.027518427518427518,0.028169014084507043,0.0,0.002533783783783784,0.0004,9.57793244364983e-05,0.00020544914343510965,0.0009592326139088728,0.0,0.0,0.0,0.014077844311377246,0.27272727272727276,2,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2,0,0,Plain
24,Raspberries,0.8585302362835403,0.058823529411764705,0.02214022140221402,0.006500000000000001,0.12172494647772453,0.12218045112781954,0.006993987975951901,0.020903010033444816,0.007084188911704311,0.028169014084507043,0.0172927847346452,0.012708298266285138,2.5801124929046907e-05,0.010687022900763359,0.01217517642175176,0.012057842046718576,0.02920913884007028,0.10804123711340206,1.193050480948475e-06,0.00018446601941747573,0.017590822179732315,0.013513513513513513,0.03286384976525822,0.0,0.0016891891891891893,0.0174,0.00020220079603260754,0.0010114419369113092,0.008992805755395683,0.0,0.0,0.0,0.009885778443113773,0.27159090909090905,2,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2,0,0,Plain
25,"Potatoes, red",0.8105726872246696,0.07918552036199095,0.034870848708487084,0.0014000000000000002,0.16209603425425628,0.03195488721804511,0.004008016032064129,0.008361204013377926,0.007494866529774127,0.028169014084507043,0.03637447823494335,0.038293216630196934,0.0004644202487228443,0.008396946564885497,0.0037359900373599,0.008898776418242492,0.007908611599297012,0.03546391752577319,3.0199090299008277e-06,0.00015048543689320389,0.03379908810119135,0.04176904176904177,0.028169014084507043,0.0,0.0,0.0002,0.0003724751505863824,4.741134079271762e-05,0.0014148681055155873,0.0,0.0,0.0,0.008497005988023951,0.5056818181818181,2,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2,0,0,Plain
26,"Corn, yellow, microwaved",0.6848217861433721,0.14819004524886878,0.06678966789667896,0.014199999999999999,0.26373738403506986,0.04887218045112782,0.011092184368737469,0.004180602006688963,0.004004106776180698,0.03201024327784891,0.056648777579010136,0.02322841272513045,0.00010320449971618763,0.013486005089058525,0.013799916977999167,0.020478309232480535,0.024674868189806697,0.07549690721649482,3.0944746849601074e-06,0.00024271844660194176,0.06089130754522724,0.02948402948402948,0.05500312989045383,0.0,0.010135135135135136,0.002,0.0015963220739416385,0.004535684935836651,0.011103117505995203,0.0,0.0,0.0,0.046272455089820363,0.625,2,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2,0,0,Plain
27,"Carrots, raw",0.8839607529034843,0.04638009049773756,0.017158671586715867,0.0024,0.09766540931797328,0.05263157894736842,0.0070140280561122245,0.027591973244147156,0.0030800821355236136,0.015364916773367477,0.020870602265951103,0.026931493014644,0.0017802776201042364,0.0061068702290076335,0.00481527604815276,0.006674082313681869,0.006151142355008787,0.024329896907216497,2.46066661695623e-06,0.00028155339805825246,0.028916017061332552,0.033906633906633905,0.0297339593114241,0.0,0.7052364864864865,0.0132,0.00039375944490560415,0.00022125292369934888,0.002805755395683453,0.0,0.0,0.0,0.003730538922155689,0.5613636363636363,2,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2,0,0,Plain
28,"Mushrooms, shiitake",0.8984781738085703,0.038461538461538464,0.041328413284132844,0.0049,0.06922214292996227,0.046992481203007516,0.009018036072144289,0.0016722408026755853,0.004209445585215605,0.02560819462227913,0.06678592725104353,0.025584918363911798,0.00023221012436142215,0.026208651399491096,0.053134080531340805,0.11790878754171302,0.4797891036906854,0.29588041237113416,5.592424129445977e-07,0.0010533980582524273,0.11404618326224444,0.07199017199017198,0.02034428794992175,0.06418,0.07248277027027031,0.041224,0.0,0.0009615019912763136,0.005402877697841728,0.0009528169014084506,0.07326923076923073,0.0,0.010547155688622755,0.5852272727272726,2,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2,0,0,Plain
29,"Mushrooms, oyster",0.892871445734882,0.03733031674208145,0.06107011070110701,0.0040999999999999995,0.062085839535120806,0.043233082706766915,0.0070140280561122245,0.002508361204013378,0.013655030800821356,0.023047375160051217,0.07155635062611806,0.03534758458172025,0.0004644202487228443,0.01959287531806616,0.0019095060190950602,0.007786429365962181,0.0035149384885764497,0.0,4.6603534412049806e-06,0.0016941747572815533,0.1457861450213267,0.027027027027027025,0.0594679186228482,0.0,0.0016891891891891893,0.0,0.0006598131238958773,0.0004899171881914153,0.002949640287769784,0.0,0.0,0.0,0.016706586826347306,0.5852272727272726,2,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2,0,0,Plain
